Gender,Major,Program,GPA
Male,B.Tech,ECE,6.37
Female,B.Tech,CSE,9.14
Female,B.Tech,CSE,8.67
Male,B.Tech,ECE,7.73
Male,B.Tech,ECE,6.66
Male,MS,CHD,8.84
Male,B.Tech,CND,5.87
Female,B.Tech,CSE,8.08
Male,MS,CHD,8.65
Female,MS,CSE,7.89
Male,MS,ECE,8.8
Female,MS,CSE,7.69
Female,PhD,CSE,7.67
Male,B.Tech,CSE,7.98
Male,B.Tech,CSE,6.91
Male,B.Tech,CHD,7.6
Male,B.Tech,ECE,8.82
Male,B.Tech,CND,6.28
Male,B.Tech,ECE,6.86
Male,B.Tech,CSE,8.57
Male,B.Tech,CSE,7.67
Male,B.Tech,CSE,6.3
Male,PhD,ECE,7.82
Male,B.Tech,ECE,6.47
Male,MS,ECE,7.48
Female,B.Tech,CSE,7.24
Male,PhD,CSE,8.34
Male,MS,CSE,8.2
Male,B.Tech,CSE,6.16
Male,B.Tech,CSE,6.93
Male,B.Tech,ECE,4.94
Male,PhD,CSE,8.37
Male,MS,CHD,8.82
Female,MS,ECE,7.0
Female,B.Tech,CSE,7.48
Female,B.Tech,CHD,6.39
Male,MS,ECE,8.56
Male,B.Tech,CSE,7.16
Female,B.Tech,CHD,7.4
Male,B.Tech,CSE,7.06
Male,PhD,CSE,8.96
Male,B.Tech,ECE,7.35
Male,B.Tech,ECE,6.29
Female,B.Tech,CSE,7.1
Male,MS,CSE,7.74
Female,B.Tech,CHD,7.16
Male,B.Tech,CSE,6.58
Male,B.Tech,CSE,6.32
Male,MS,ECE,8.14
Male,PhD,CND,8.33
Female,MS,CSE,8.74
Female,B.Tech,ECE,6.59
Female,PhD,CHD,7.31
Female,B.Tech,ECE,6.64
Male,B.Tech,ECE,5.37
Female,B.Tech,CND,7.42
Male,B.Tech,CSE,5.33
Male,MS,CSE,7.31
Male,B.Tech,CND,6.64
Male,B.Tech,ECE,8.54
Male,B.Tech,ECE,5.93
Male,B.Tech,ECE,7.01
Female,B.Tech,ECE,7.58
Male,B.Tech,ECE,8.48
Male,B.Tech,CND,7.78
Male,B.Tech,ECE,8.09
Male,B.Tech,CSE,7.86
Female,MS,CHD,7.15
Male,B.Tech,ECE,7.36
Other,MS,ECE,8.59
Female,PhD,ECE,7.82
Male,MS,CSE,7.59
Male,B.Tech,ECE,6.2
Female,B.Tech,ECE,7.77
Female,PhD,CND,8.27
Female,B.Tech,ECE,6.68
Female,B.Tech,CSE,5.72
Male,B.Tech,ECE,6.93
Male,B.Tech,ECE,6.43
Male,PhD,ECE,8.42
Female,B.Tech,ECE,5.86
Male,B.Tech,ECE,7.18
Male,B.Tech,CSE,6.56
Male,B.Tech,ECE,5.75
Male,B.Tech,CSE,5.67
Male,B.Tech,ECE,5.82
Female,MS,CSE,7.86
Male,B.Tech,CSE,7.12
Female,MS,ECE,8.19
Male,B.Tech,ECE,7.31
Male,B.Tech,ECE,6.24
Female,B.Tech,ECE,8.06
Female,B.Tech,ECE,6.56
Male,MS,ECE,8.32
Female,MS,CHD,7.89
Male,B.Tech,ECE,7.38
Male,B.Tech,ECE,6.79
Male,MS,ECE,8.28
Male,B.Tech,CND,6.99
Male,B.Tech,CSE,7.81
Male,PhD,CND,7.89
Male,B.Tech,CSE,5.23
Male,PhD,ECE,7.81
Male,B.Tech,CSE,8.07
Female,MS,CHD,7.89
Male,B.Tech,CSE,7.09
Male,B.Tech,CHD,5.95
Female,B.Tech,CHD,7.07
Male,B.Tech,ECE,5.98
Male,B.Tech,ECE,6.12
Male,B.Tech,CND,6.6
Male,B.Tech,CHD,7.45
Female,MS,ECE,8.39
Female,B.Tech,ECE,7.58
Male,B.Tech,ECE,5.41
Female,B.Tech,ECE,6.99
Female,B.Tech,CSE,6.8
Male,B.Tech,ECE,5.47
Female,B.Tech,CSE,7.02
Male,MS,ECE,7.82
Female,B.Tech,ECE,7.51
Female,B.Tech,CND,7.08
Male,MS,CND,7.62
Male,MS,ECE,8.65
Male,B.Tech,ECE,4.78
Male,MS,CSE,7.96
Female,B.Tech,ECE,5.24
Female,MS,CSE,7.36
Male,B.Tech,CSE,7.52
Male,B.Tech,ECE,5.73
Male,PhD,ECE,7.59
Male,B.Tech,CSE,9.38
Male,B.Tech,CHD,5.64
Male,B.Tech,CSE,8.65
Female,B.Tech,CSE,6.83
Male,B.Tech,CSE,6.48
Male,B.Tech,CSE,7.57
Female,B.Tech,CSE,8.34
Male,B.Tech,ECE,5.85
Female,B.Tech,CSE,6.49
Female,B.Tech,CHD,7.85
Male,B.Tech,CSE,7.29
Male,PhD,ECE,8.85
Male,B.Tech,ECE,7.52
Male,B.Tech,ECE,8.81
Male,MS,CHD,8.13
Male,MS,CND,8.16
Male,B.Tech,CSE,7.32
Male,MS,ECE,7.9
Male,B.Tech,CHD,7.85
Female,MS,CSE,8.17
Male,B.Tech,CSE,7.79
Male,B.Tech,CSE,7.94
Male,B.Tech,ECE,7.43
Other,MS,CSE,8.35
Male,B.Tech,CSE,5.99
Female,B.Tech,ECE,6.45
Female,B.Tech,ECE,7.84
Male,PhD,CSE,9.01
Female,MS,ECE,6.64
Male,B.Tech,ECE,6.43
Male,B.Tech,CND,7.02
Male,B.Tech,ECE,6.12
Male,B.Tech,ECE,6.18
Male,PhD,ECE,8.54
Female,B.Tech,CSE,8.58
Male,B.Tech,ECE,4.97
Male,B.Tech,CHD,6.83
Male,B.Tech,ECE,7.46
Male,B.Tech,CHD,7.78
Female,B.Tech,CND,7.32
Male,B.Tech,CSE,8.76
Male,B.Tech,CSE,7.03
Male,B.Tech,CSE,8.31
Male,B.Tech,CSE,6.35
Male,B.Tech,CSE,7.06
Female,MS,CND,7.15
Male,B.Tech,CSE,7.9
Female,B.Tech,CSE,6.88
Male,MS,CSE,8.25
Male,B.Tech,CND,6.69
Male,B.Tech,ECE,7.59
Female,B.Tech,CND,7.4
Female,B.Tech,CND,6.01
Male,B.Tech,ECE,6.06
Female,B.Tech,CSE,6.97
Female,MS,CSE,8.46
Male,MS,CSE,9.3
Male,B.Tech,ECE,7.3
Male,B.Tech,CSE,8.01
Male,B.Tech,CSE,5.39
Female,B.Tech,ECE,9.01
Female,B.Tech,ECE,7.61
Male,MS,CHD,7.97
Male,B.Tech,CSE,6.84
Male,PhD,CND,7.75
Female,MS,ECE,7.43
Female,MS,CSE,9.34
Female,B.Tech,ECE,6.01
Female,B.Tech,CND,5.99
Male,B.Tech,CSE,6.3
Male,B.Tech,CSE,5.8
Male,B.Tech,ECE,7.02
Female,B.Tech,CSE,8.09
Male,B.Tech,CHD,6.39
Male,B.Tech,CSE,5.63
Male,MS,CHD,8.2
Female,B.Tech,ECE,6.94
Male,B.Tech,ECE,8.0
Male,B.Tech,CSE,6.55
Male,PhD,CSE,8.17
Female,B.Tech,CSE,6.85
Female,B.Tech,CSE,7.09
Male,B.Tech,CSE,6.61
Female,PhD,CND,8.02
Male,MS,ECE,6.7
Male,B.Tech,ECE,6.43
Female,B.Tech,ECE,7.72
Male,B.Tech,ECE,7.85
Female,B.Tech,CND,6.53
Female,B.Tech,CSE,8.3
Male,MS,CND,7.98
Male,PhD,CHD,7.63
Male,B.Tech,CHD,5.35
Male,B.Tech,ECE,8.22
Male,B.Tech,ECE,6.63
Female,MS,CSE,7.15
Male,MS,CSE,6.42
Female,B.Tech,ECE,6.6
Male,B.Tech,CND,7.4
Female,B.Tech,ECE,6.3
Male,B.Tech,CSE,5.95
Male,MS,CND,7.62
Male,B.Tech,ECE,8.24
Male,MS,CSE,7.02
Female,B.Tech,CSE,6.36
Male,MS,CSE,8.85
Male,B.Tech,CHD,7.49
Male,MS,CND,8.13
Male,B.Tech,CSE,6.35
Female,B.Tech,CSE,7.03
Female,B.Tech,ECE,6.46
Female,B.Tech,CND,6.14
Male,B.Tech,ECE,5.92
Male,B.Tech,ECE,7.78
Female,PhD,CSE,8.27
Male,B.Tech,ECE,7.31
Female,MS,CSE,8.11
Female,PhD,CND,8.52
Female,B.Tech,CSE,6.75
Male,B.Tech,CHD,6.52
Male,B.Tech,CSE,6.18
Female,B.Tech,CHD,5.59
Male,B.Tech,CSE,5.88
Male,PhD,ECE,8.12
Male,B.Tech,ECE,5.4
Female,B.Tech,CSE,5.62
Female,B.Tech,CND,8.04
Male,MS,ECE,8.16
Male,B.Tech,ECE,6.55
Male,B.Tech,CHD,9.27
Other,B.Tech,CHD,5.35
Male,B.Tech,ECE,7.98
Male,PhD,CND,8.24
Female,MS,CSE,8.55
Female,B.Tech,CSE,7.11
Female,B.Tech,ECE,5.13
Female,B.Tech,CSE,7.1
Male,B.Tech,ECE,7.34
Male,B.Tech,CSE,4.81
Female,B.Tech,ECE,8.94
Female,B.Tech,CHD,7.31
Female,PhD,CHD,8.64
Female,B.Tech,CND,5.83
Male,PhD,CND,8.65
Male,B.Tech,CSE,8.09
Female,B.Tech,CSE,7.25
Male,MS,ECE,7.99
Female,B.Tech,CHD,6.11
Female,B.Tech,CSE,6.78
Female,B.Tech,CSE,6.49
Male,B.Tech,CND,7.57
Male,PhD,CHD,7.88
Male,MS,CSE,8.4
Male,B.Tech,CSE,6.16
Male,B.Tech,CHD,6.74
Male,B.Tech,CHD,7.62
Male,B.Tech,CSE,6.3
Male,B.Tech,ECE,7.65
Male,B.Tech,CHD,7.55
Male,B.Tech,ECE,6.73
Male,B.Tech,CHD,8.16
Female,B.Tech,ECE,7.08
Male,B.Tech,CND,8.1
Male,B.Tech,CSE,8.79
Male,PhD,CSE,8.18
Female,MS,CHD,8.45
Male,B.Tech,ECE,6.36
Male,B.Tech,CHD,5.97
Male,MS,CSE,7.86
Male,PhD,CND,7.62
Male,MS,CSE,7.34
Male,B.Tech,ECE,7.59
Male,PhD,CSE,8.04
Female,B.Tech,ECE,7.71
Female,MS,CHD,8.21
Male,PhD,ECE,9.23
Male,B.Tech,CSE,7.52
Female,PhD,CHD,8.86
Male,B.Tech,CHD,7.4
Male,PhD,ECE,8.46
Male,B.Tech,CSE,8.16
Male,PhD,ECE,8.63
Female,B.Tech,CND,7.21
Female,MS,ECE,8.14
Female,B.Tech,CSE,7.54
Male,B.Tech,ECE,6.33
Male,B.Tech,ECE,6.29
Male,MS,CSE,9.0
Male,B.Tech,CND,8.86
Male,B.Tech,ECE,6.07
Female,B.Tech,ECE,6.33
Female,PhD,ECE,8.87
Male,B.Tech,CHD,7.53
Female,B.Tech,CSE,7.68
Female,B.Tech,CSE,7.9
Male,B.Tech,CSE,6.76
Male,B.Tech,ECE,7.33
Male,B.Tech,ECE,7.25
Male,MS,CHD,7.4
Male,MS,CSE,8.22
Female,B.Tech,ECE,8.24
Male,B.Tech,ECE,6.67
Male,B.Tech,CSE,7.15
Male,B.Tech,CHD,7.21
Male,MS,ECE,7.8
Female,B.Tech,ECE,7.68
Female,B.Tech,CSE,6.32
Male,B.Tech,ECE,8.33
Male,MS,CND,8.44
Male,B.Tech,CND,6.06
Male,B.Tech,CSE,8.7
Male,B.Tech,ECE,7.17
Male,MS,CSE,7.49
Male,PhD,CND,8.85
Male,B.Tech,ECE,7.49
Male,B.Tech,CSE,5.23
Male,PhD,CSE,8.04
Male,B.Tech,CND,7.28
Male,B.Tech,ECE,4.84
Male,B.Tech,CSE,7.09
Female,B.Tech,CSE,7.16
Female,B.Tech,CSE,5.82
Male,MS,CHD,8.19
Male,B.Tech,CND,7.01
Male,B.Tech,CHD,5.81
Male,MS,ECE,8.64
Male,B.Tech,CHD,7.84
Female,B.Tech,ECE,6.71
Male,B.Tech,CSE,6.8
Male,MS,CND,8.51
Male,MS,ECE,7.86
Male,PhD,ECE,7.33
Male,MS,CND,8.34
Female,B.Tech,CSE,6.19
Male,B.Tech,ECE,6.61
Female,MS,CND,9.02
Female,B.Tech,ECE,6.87
Male,B.Tech,CSE,7.0
Male,B.Tech,CSE,7.51
Male,B.Tech,CSE,7.51
Male,PhD,ECE,7.84
Male,B.Tech,ECE,6.94
Female,B.Tech,ECE,7.04
Male,PhD,ECE,8.44
Male,B.Tech,ECE,7.29
Female,B.Tech,ECE,9.59
Male,B.Tech,CHD,5.82
Female,MS,ECE,8.69
Male,MS,CND,8.83
Male,MS,ECE,8.34
Female,MS,ECE,7.54
Male,B.Tech,CSE,8.66
Female,MS,ECE,6.47
Female,MS,CHD,7.52
Female,B.Tech,CSE,8.17
Male,B.Tech,CND,6.63
Male,PhD,CHD,9.1
Female,MS,CND,6.94
Female,MS,CSE,7.22
Other,MS,ECE,7.63
Male,B.Tech,CSE,7.42
Male,B.Tech,CSE,6.78
Female,B.Tech,CHD,6.51
Male,B.Tech,CSE,8.42
Female,MS,ECE,9.06
Female,B.Tech,CSE,6.59
Male,B.Tech,ECE,5.29
Female,B.Tech,CHD,4.84
Female,B.Tech,ECE,7.24
Male,B.Tech,ECE,7.66
Female,B.Tech,CSE,7.06
Male,B.Tech,CND,6.93
Female,B.Tech,ECE,6.2
Male,PhD,ECE,8.63
Female,B.Tech,ECE,8.68
Male,B.Tech,CND,4.78
Male,B.Tech,ECE,6.92
Female,B.Tech,ECE,6.03
Male,B.Tech,ECE,5.51
Male,MS,CSE,7.21
Female,MS,CHD,8.27
Female,B.Tech,ECE,7.4
Male,B.Tech,ECE,8.46
Male,PhD,CHD,8.3
Male,MS,CSE,6.77
Male,B.Tech,ECE,6.76
Male,B.Tech,CND,5.61
Female,B.Tech,CHD,5.79
Female,B.Tech,CSE,7.58
Female,B.Tech,ECE,7.19
Female,B.Tech,CHD,7.59
Male,B.Tech,ECE,6.64
Male,B.Tech,ECE,7.79
Male,MS,CND,7.71
Male,MS,ECE,8.78
Male,B.Tech,ECE,7.34
Female,MS,CSE,7.86
Male,B.Tech,CSE,7.21
Male,MS,CSE,7.99
Male,B.Tech,CND,8.6
Female,B.Tech,ECE,7.25
Male,B.Tech,ECE,7.0
Male,B.Tech,CHD,6.76
Male,PhD,CHD,8.72
Female,B.Tech,ECE,7.71
Male,B.Tech,CSE,6.73
Female,B.Tech,CHD,5.84
Female,B.Tech,CSE,6.1
Male,B.Tech,CSE,6.82
Male,B.Tech,CSE,8.35
Other,MS,CSE,7.82
Male,MS,CSE,7.58
Male,PhD,CHD,7.42
Female,B.Tech,CSE,8.51
Female,MS,CHD,8.4
Other,B.Tech,CSE,7.8
Female,B.Tech,CSE,7.96
Male,B.Tech,ECE,6.84
Male,PhD,CND,8.34
Female,MS,CND,9.04
Male,PhD,CND,8.39
Male,MS,CHD,8.41
Female,PhD,CHD,8.74
Male,MS,CHD,8.45
Male,B.Tech,ECE,6.87
Male,B.Tech,CSE,6.97
Male,B.Tech,ECE,7.78
Male,B.Tech,CSE,7.78
Male,B.Tech,ECE,8.17
Male,B.Tech,ECE,7.55
Male,B.Tech,CSE,7.6
Female,PhD,ECE,8.08
Male,PhD,CSE,8.01
Female,B.Tech,CND,7.78
Male,B.Tech,CSE,6.43
Male,B.Tech,CSE,6.98
Female,B.Tech,CHD,8.38
Male,MS,ECE,8.85
Female,B.Tech,CSE,7.3
Male,B.Tech,CSE,6.7
Female,MS,CSE,7.91
Male,MS,CSE,8.61
Female,B.Tech,CSE,6.96
Male,MS,ECE,7.61
Other,B.Tech,CHD,8.22
Male,B.Tech,ECE,7.18
Male,B.Tech,ECE,6.42
Female,B.Tech,CSE,7.48
Male,B.Tech,CSE,7.97
Male,B.Tech,CHD,5.99
Female,B.Tech,CSE,6.8
Male,MS,CND,7.83
Male,B.Tech,ECE,7.45
Male,B.Tech,CHD,7.63
Female,MS,ECE,7.61
Male,B.Tech,CSE,5.51
Male,PhD,CND,8.82
Female,B.Tech,ECE,5.88
Female,B.Tech,CSE,7.27
Male,B.Tech,CND,6.87
Male,B.Tech,CSE,7.16
Male,B.Tech,CSE,8.65
Male,B.Tech,ECE,10.0
Male,B.Tech,ECE,5.37
Male,B.Tech,CND,7.98
Male,B.Tech,ECE,6.84
Male,B.Tech,CSE,8.05
Female,B.Tech,ECE,7.96
Other,B.Tech,CSE,8.41
Female,B.Tech,ECE,7.28
Male,B.Tech,ECE,6.11
Male,MS,CSE,8.65
Female,B.Tech,ECE,7.12
Female,MS,ECE,7.84
Male,B.Tech,ECE,6.52
Female,B.Tech,ECE,8.01
Female,B.Tech,CSE,8.6
Female,MS,CSE,7.16
Female,B.Tech,CSE,7.62
Male,B.Tech,CSE,6.63
Male,B.Tech,ECE,5.53
Female,B.Tech,CND,7.15
Female,B.Tech,ECE,6.17
Male,B.Tech,ECE,5.42
Male,B.Tech,ECE,6.22
Male,B.Tech,CSE,5.97
Female,B.Tech,CND,6.35
Other,MS,CND,7.07
Male,MS,ECE,7.72
Male,B.Tech,CSE,6.29
Male,B.Tech,ECE,7.38
Female,MS,CSE,8.42
Female,B.Tech,ECE,7.26
Female,B.Tech,CHD,6.76
Male,MS,CSE,7.82
Male,B.Tech,CND,6.16
Male,B.Tech,CND,6.19
Male,MS,CND,8.49
Female,B.Tech,ECE,5.24
Female,MS,CSE,7.94
Other,MS,ECE,7.77
Other,PhD,ECE,8.6
Male,B.Tech,CSE,5.57
Female,B.Tech,ECE,7.01
Female,B.Tech,ECE,7.34
Female,B.Tech,CSE,5.1
Male,B.Tech,CSE,5.93
Male,B.Tech,CSE,6.91
Male,B.Tech,ECE,7.51
Female,B.Tech,ECE,7.18
Male,B.Tech,CSE,7.56
Male,MS,CND,7.24
Female,MS,CSE,6.89
Male,PhD,CHD,8.34
Male,B.Tech,ECE,5.77
Male,PhD,CND,7.87
Female,MS,CSE,8.65
Male,B.Tech,CND,7.19
Female,B.Tech,CND,6.43
Male,B.Tech,ECE,6.3
Female,B.Tech,ECE,7.62
Male,B.Tech,CSE,7.21
Male,B.Tech,ECE,5.79
Female,MS,ECE,6.64
Male,B.Tech,ECE,8.88
Male,B.Tech,ECE,5.78
Male,MS,CHD,8.37
Female,B.Tech,CSE,8.51
Male,PhD,CSE,8.37
Female,B.Tech,CSE,6.4
Male,PhD,CSE,7.59
Male,B.Tech,ECE,5.56
Male,B.Tech,ECE,7.38
Male,B.Tech,ECE,8.45
Male,MS,ECE,7.72
Male,MS,CHD,7.61
Male,B.Tech,CSE,7.7
Female,PhD,ECE,7.96
Male,B.Tech,CSE,7.27
Male,B.Tech,ECE,7.04
Female,MS,CSE,7.71
Male,B.Tech,CSE,6.98
Male,B.Tech,ECE,8.76
Female,PhD,CND,8.6
Female,PhD,CHD,8.85
Male,PhD,CND,7.84
Female,PhD,CHD,8.85
Male,B.Tech,ECE,7.64
Male,MS,CHD,6.95
Male,B.Tech,CHD,7.54
Other,PhD,CSE,8.04
Male,B.Tech,CSE,5.45
Male,B.Tech,CSE,7.13
Male,B.Tech,ECE,7.54
Male,B.Tech,CHD,7.15
